Team,wlt,wltPts,glsTotal,glsDifference,adjGoals,adjGoalsPts,adjGoalsTotal,adjGoalsDifference,shotXg,shotXgPts,shotXgTotal,shotXgDifference,nonshotXg,nonshotXgPts,nonshotXgTotal,nonshotXgDifference,optaXg,optaXgPts,optaXgTotal,optaXgDifference,xgt,xgtPts,xgtTotal,xgtDifference,xgp,xgpPts,xgpTotal,xgpDifference,fbrefXg,fbrefXgPts,fbrefXgTotal,fbrefXgDifference,xPts
MIN,"[0, 3, 0]",0,1,-6,"[0, 3, 0]",0,1.1,-5.8,"[1, 2, 0]",3,3.6,-2.4,"[2, 1, 0]",6,5.1,1.3,"[0, 2, 1]",1,3.6,-2.6,"[1, 2, 0]",3,3.52,-1.85,"[1, 2, 0]",3,3.54,-1.83,"[0, 3, 0]",0,3.7,-3.7,2.76
MIA,"[1, 1, 1]",4,4,0,"[1, 1, 1]",4,4.2,-0.1,"[1, 1, 1]",4,4.0,1.1,"[1, 2, 0]",3,4.1,0.7,"[1, 2, 0]",3,3.5,0.4,"[1, 2, 0]",3,3.61,0.89,"[1, 2, 0]",3,3.61,0.88,"[1, 2, 0]",3,4.0,0.9,4.56
ATL,"[1, 1, 1]",4,4,1,"[1, 1, 1]",4,3.9,0.7,"[1, 2, 0]",3,4.4,-0.8,"[1, 2, 0]",3,3.6,-1.7,"[2, 1, 0]",6,4.5,-0.5,"[1, 2, 0]",3,4.35,-0.61,"[1, 2, 0]",3,4.48,-0.50,"[1, 2, 0]",3,3.8,-1.2,3.68
CIN,"[0, 2, 1]",1,2,-8,"[0, 2, 1]",1,2.1,-7.8,"[1, 2, 0]",3,4.0,-3.0,"[0, 3, 0]",0,2.5,-4.5,"[0, 3, 0]",0,4.1,-3.7,"[0, 3, 0]",0,3.44,-4.40,"[0, 3, 0]",0,3.73,-4.31,"[0, 3, 0]",0,3.8,-4.4,1.43
SKC,"[1, 1, 1]",4,4,-1,"[1, 1, 1]",4,4.3,-0.9,"[1, 2, 0]",3,2.6,-0.5,"[1, 2, 0]",3,2.9,-0.2,"[1, 2, 0]",3,2.7,-0.3,"[1, 2, 0]",3,2.55,-0.24,"[1, 2, 0]",3,2.55,-0.35,"[1, 2, 0]",3,3.1,-0.1,3.80
NYC,"[2, 1, 0]",6,8,6,"[2, 1, 0]",6,7.9,5.8,"[2, 1, 0]",6,5.4,2.4,"[3, 0, 0]",9,7.5,5.2,"[3, 0, 0]",9,5.7,3.3,"[3, 0, 0]",9,5.82,3.77,"[3, 0, 0]",9,6.00,3.64,"[3, 0, 0]",9,6.0,4.2,6.83
COL,"[1, 1, 1]",4,2,-1,"[1, 1, 1]",4,2.2,-0.9,"[1, 2, 0]",3,4.0,0.3,"[1, 2, 0]",3,3.8,-0.7,"[1, 2, 0]",3,4.5,0.5,"[1, 2, 0]",3,3.55,0.52,"[1, 2, 0]",3,3.58,0.53,"[2, 1, 0]",6,4.5,0.5,4.30
ATX,"[2, 1, 0]",6,4,1,"[2, 1, 0]",6,4.2,1.5,"[2, 1, 0]",6,4.4,-0.3,"[0, 3, 0]",0,3.7,-1.8,"[2, 1, 0]",6,4.7,-0.4,"[2, 1, 0]",6,3.72,-0.87,"[2, 1, 0]",6,3.73,-0.87,"[2, 1, 0]",6,5.6,0.7,3.89
NSH,"[0, 0, 3]",3,4,0,"[0, 0, 3]",3,4.2,0.0,"[3, 0, 0]",9,6.6,4.1,"[3, 0, 0]",9,4.9,2.8,"[3, 0, 0]",9,7.4,4.5,"[3, 0, 0]",9,6.26,3.36,"[3, 0, 0]",9,6.37,3.47,"[3, 0, 0]",9,6.6,3.7,6.16
LA,"[2, 1, 0]",6,6,-1,"[2, 1, 0]",6,6.4,-0.4,"[1, 2, 0]",3,4.5,-1.5,"[0, 3, 0]",0,2.4,-3.4,"[1, 2, 0]",3,4.5,-1.4,"[1, 2, 0]",3,4.13,-1.88,"[1, 2, 0]",3,4.21,-2.03,"[1, 2, 0]",3,4.7,-1.9,3.01
